tax_id,parent_id,name,rank,symbol,scientific_name_with_author,author
336138,336100,Peniocereus maculatus,species,,,
336139,336100,Peniocereus marianus,species,,,
762133,153864,Gymnocalycium erinaceum,species,,,
762134,153864,Gymnocalycium eurypleurum,species,,,
762135,153864,Gymnocalycium ferrarii,species,,,
762136,153864,Gymnocalycium fischeri,species,,,
762137,762136,Gymnocalycium fischeri subsp. suyuquense,subspecies,,,
762138,153864,Gymnocalycium fleischerianum,species,,,
336149,944768,Strophocactus sicariguensis,species,,,
762140,153864,Gymnocalycium eytianum,species,,,
2982173,106975,Opuntia rioplatensis,species,,,
762142,153864,Gymnocalycium hamatum,species,,,
762143,153864,Gymnocalycium horstii,species,,,
762144,153864,Gymnocalycium hossei,species,,,
762147,153864,Gymnocalycium hyptiacanthum,species,,,
762148,153864,Gymnocalycium kieslingii,species,,,
762151,762175,Gymnocalycium reductum subsp. leeanum,subspecies,,,
762152,153864,Gymnocalycium marsoneri,species,,,
762153,153864,Gymnocalycium mazanense,species,,,
762155,153864,Gymnocalycium megalothelon,species,,,
762157,153864,Gymnocalycium mesopotamicum,species,,,
762158,153864,Gymnocalycium monvillei,species,,,
762159,762158,Gymnocalycium monvillei subsp. horridispinum,subspecies,,,
762160,153864,Gymnocalycium mostii,species,,,
762161,762120,Gymnocalycium castellanosii subsp. ferocior,subspecies,,,
762163,762160,Gymnocalycium mostii subsp. mostii,subspecies,,,
762164,153864,Gymnocalycium multiflorum,species,,,
762165,762147,Gymnocalycium hyptiacanthum subsp. netrelianum,subspecies,,,
762166,153864,Gymnocalycium oenanthemum,species,,,
762167,153864,Gymnocalycium papschii,species,,,
762168,153864,Gymnocalycium parvulum,species,,,
762169,762168,Gymnocalycium parvulum subsp. huettneri,subspecies,,,
762170,762168,Gymnocalycium parvulum subsp. parvulum,subspecies,,,
762172,153864,Gymnocalycium prochazkianum,species,,,
762173,153864,Gymnocalycium quehlianum,species,,,
762174,153864,Gymnocalycium raineri,species,,,
762175,153864,Gymnocalycium reductum,species,,,
762177,153864,Gymnocalycium rhodantherum,species,,,
762178,153864,Gymnocalycium riojense,species,,,
762179,762178,Gymnocalycium riojense subsp. kozelskyanum,subspecies,,,
762181,153864,Gymnocalycium ritterianum,species,,,
762182,762181,Gymnocalycium ritterianum subsp. acentracanthum,subspecies,,,
762183,762181,Gymnocalycium ritterianum subsp. ritterianum,subspecies,,,
762184,153864,Gymnocalycium saglionis,species,,,
762186,153864,Gymnocalycium stellatum,species,,,
762187,153864,Gymnocalycium striglianum,species,,,
762188,762184,Gymnocalycium saglionis subsp. tilcarense,subspecies,,,
762189,153864,Gymnocalycium tillianum,species,,,
762190,153864,Gymnocalycium uebelmannianum,species,,,
762191,762147,Gymnocalycium hyptiacanthum subsp. uruguayense,subspecies,,,
762193,432497,Gymnocalycium pflanzii subsp. zegarrae,subspecies,,,
762196,154425,Matucana polzii,species,,,
762197,762178,Gymnocalycium riojense subsp. paucispinum,subspecies,,,
762198,153864,Gymnocalycium robustum,species,,,
1163607,106975,Opuntia triacanthos,species,,,
1163608,106975,Opuntia nemoralis,species,,,
393608,106975,Opuntia streptacantha,species,,,
393609,2637721,Opuntia albicarpa (nom. inval.),species,,,
1229200,130167,Sclerocactus glaucus,species,,,
1229201,130167,Sclerocactus parviflorus,species,,,
278519,278518,Mammillaria crinita subsp. scheinvariana,subspecies,,,
106974,106973,Maihuenia poeppigii,species,,,
106976,393614,Grusonia bradtiana,species,,,
106977,393614,Grusonia clavata,species,,,
106979,867397,Cumulopuntia sphaerica,species,,,
106980,393614,Grusonia marenae,species,,,
106981,154405,Austrocylindropuntia pachypus,species,,,
106982,154405,Austrocylindropuntia subulata,species,,,
106984,106983,Pterocactus kuntzei,species,,,
278523,130139,Mammillaria erythrosperma,species,,,
278525,130139,Mammillaria formosa,species,,,
336384,171972,Stenocereus treleasei,species,,,
929820,866924,Ariocarpus fissuratus subsp. fissuratus,subspecies,,,
929821,866924,Ariocarpus fissuratus subsp. lloydii,subspecies,,,
929825,866925,Ariocarpus kotschoubeyanus subsp. macdowellii,subspecies,,,
929827,130095,Ariocarpus retusus subsp. scapharostroides,subspecies,,,
2650860,153870,Leptocereus wrightii,species,,,
2056760,153862,Eulychnia aff. acida HW759,species,,,
2056762,153862,Eulychnia chorosensis,species,,,
2056763,153862,Eulychnia ritteri,species,,,
2056764,153862,Eulychnia taltalensis,species,,,
2056765,154412,Frailea mammifera,species,,,
2056766,2056765,Frailea mammifera subsp. angelesiae,subspecies,,,
1548869,223052,Cephalocereus totolapensis,species,,,
1548870,153853,Echinocereus acifer,species,,,
1548871,153853,Echinocereus arizonicus,species,,,
1548872,153853,Echinocereus bonkerae,species,,,
1548873,153853,Echinocereus chisosensis,species,,,
1548874,153853,Echinocereus koehresianus,species,,,
1548875,153853,Echinocereus metornii,species,,,
1548876,153853,Echinocereus primolanatus,species,,,
1548877,153853,Echinocereus pseudopectinatus,species,,,
1548878,153853,Echinocereus santaritensis,species,,,
1548879,153853,Echinocereus schereri,species,,,
1548880,153853,Echinocereus viridiflorus,species,,,
1548881,153853,Echinocereus waldeisii,species,,,
1548882,983927,Epiphyllum hookeri,species,,,
500323,130093,Ariocarpus bravoanus,species,,,
278550,246740,Mammillaria melanocentra subsp. rubrograndis,subspecies,,,
2761368,106975,Opuntia olmeca,species,,,
762141,153864,Gymnocalycium glaucum,species,,,
278563,130139,Mammillaria pennispinosa,species,,,
2704054,432447,Cleistocactus winteri,species,,,
278564,130139,Mammillaria perezdelarosae,species,,,
278565,130139,Mammillaria petrophila,species,,,
278566,278565,Mammillaria petrophila subsp. baxteriana,subspecies,,,
278567,130139,Mammillaria phitauiana,species,,,
278568,130139,Mammillaria picta,species,,,
278572,278571,Mammillaria pondii subsp. setispina,subspecies,,,
1221358,722778,Echinopsis aurea subsp. aurea,subspecies,,,
867515,130120,Ferocactus coptonogonus,species,,,
278587,130139,Mammillaria vetula,species,,,
1041197,106975,Opuntia arechavaletae,species,,,
1041199,1041198,Consolea corallicola,species,,,
1041200,1041198,Consolea falcata,species,,,
1041201,1041198,Consolea moniliformis,species,,,
1041202,1041198,Consolea nashii,species,,,
1041203,1041198,Consolea rubescens,species,,,
1041204,1041198,Consolea spinosissima,species,,,
1041205,572154,Maihueniopsis ovata,species,,,
278588,130139,Mammillaria gracilis,species,,,
1041207,106975,Opuntia hondurensis,species,,,
1041208,106975,Opuntia inaperta,species,,,
1041209,106975,Opuntia nuda,species,,,
1041210,106975,Opuntia acaulis,species,,,
278589,130153,Mammillaria voburnensis subsp. eichlamii,subspecies,,,
1041213,106975,Opuntia assumptionis,species,,,
1041214,106975,Opuntia aurea,species,,,
1041215,106975,Opuntia aureispina,species,,,
1041216,106975,Opuntia austrina,species,,,
1041217,106975,Opuntia bahamana,species,,,
1041218,106975,Opuntia bakeri,species,,,
1041219,106975,Opuntia bella,species,,,
1041220,106975,Opuntia bisetosa,species,,,
1041221,106975,Opuntia boldinghii,species,,,
1041222,106975,Opuntia camanchica,species,,,
1041223,106975,Opuntia caracassana,species,,,
1041224,106975,Opuntia carstenii,species,,,
1041225,106975,Opuntia cespitosa,species,,,
1041226,106975,Opuntia chisosensis,species,,,
1041227,106975,Opuntia cochabambensis,species,,,
1041228,106975,Opuntia cubensis,species,,,
1041229,106975,Opuntia cymochila,species,,,
1041230,106975,Opuntia drummondii,species,,,
1041231,106975,Opuntia durangensis,species,,,
1041232,106975,Opuntia eichlamii,species,,,
1041233,106975,Opuntia elata,species,,,
1041234,106975,Opuntia ellisiana,species,,,
1041238,106975,Opuntia erinacea,species,,,
1041239,106975,Opuntia galapageia,species,,,
1041240,106975,Opuntia hystricina,species,,,
1041241,106975,Opuntia jamaicensis,species,,,
1041242,106975,Opuntia keyensis,species,,,
1041243,106975,Opuntia lilae,species,,,
1041244,106975,Opuntia lucayana,species,,,
1041245,106975,Opuntia macrorhiza,species,,,
1041246,106975,Opuntia magnifica,species,,,
1041247,106975,Opuntia martiniana,species,,,
1041248,106975,Opuntia militaris,species,,,
1041249,106975,Opuntia monacantha,species,,,
1041250,106975,Opuntia orbiculata,species,,,
1041251,106975,Opuntia pachyrrhiza,species,,,
1041252,106975,Opuntia pailana,species,,,
1041253,106975,Opuntia pinkavae,species,,,
1041254,106975,Opuntia pittieri,species,,,
1041255,106975,Opuntia pollardii,species,,,
1041256,106975,Opuntia pottsii,species,,,
1041257,106975,Opuntia pumila,species,,,
1041258,106975,Opuntia pusilla,species,,,
1041259,106975,Opuntia quitensis,species,,,
1041260,106975,Opuntia rastrera,species,,,
1041261,106975,Opuntia repens,species,,,
1041262,106975,Opuntia retrorsa,species,,,
1041263,1367495,Salmonopuntia salmiana,species,,,
1041264,106975,Opuntia sanguinea,species,,,
1041265,106975,Opuntia santa-rita,species,,,
1041266,1367495,Salmonopuntia schickendantzii,species,,,
1041267,106975,Opuntia schumannii,species,,,
1041268,106975,Opuntia setispina,species,,,
1041269,106975,Opuntia soederstromiana,species,,,
1041270,106975,Opuntia strigil,species,,,
1041271,106975,Opuntia sulphurea,species,,,
1041272,106975,Opuntia tortispina,species,,,
1041273,106975,Opuntia vaseyi,species,,,
1041274,169219,Tacinga inamoena,species,,,
983932,983927,Epiphyllum phyllanthus,species,,,
1041277,169219,Tacinga saxatilis,species,,,
983931,983930,Praecereus saxicola,species,,,
549777,106975,Opuntia basilaris,species,,,
1688500,2637721,Opuntia sp. Martinez-Gonzalez 5,species,,,
1688501,2637721,Opuntia sp. Martinez-Gonzalez 6,species,,,
1688502,2637721,Opuntia sp. Martinez-Gonzalez 7,species,,,
2802628,130165,Pelecyphora robbinsiorum,species,,,
2802629,130108,Coryphantha sulcata,species,,,
3236806,154416,Copiapoa australis,species,,,
2802630,867411,Mammillaria columbiana subsp. yucatanensis,subspecies,,,
246729,130139,Mammillaria backebergiana,species,,,
246730,130139,Mammillaria wiesingeri,species,,,
246731,130139,Mammillaria camptotricha,species,,,
2720716,153845,Cereus cochabambensis,species,,,
2720717,153845,Cereus stenogonus,species,,,
2720718,153845,Cereus trigonodendron,species,,,
2720719,153845,Cereus fricii,species,,,
246732,130139,Mammillaria carnea,species,,,
246733,130139,Mammillaria conspicua,species,,,
1262546,153853,Echinocereus coccineus,species,,,
1262547,153853,Echinocereus stolonifer,species,,,
1262548,2633613,Pachycereus sp. DES:1990 0759,species,,,
246734,130139,Mammillaria centralifera,species,,,
246735,130139,Mammillaria deherdtiana,species,,,
246736,130139,Mammillaria lloydii,species,,,
246737,130139,Mammillaria gigantea,species,,,
2982873,130176,Strombocactus disciformis subsp. esperanzae,subspecies,,,
246746,183648,Echinopsis schieliana,species,,,
246747,246746,Echinopsis schieliana subsp. 'leptacantha',subspecies,,,
2982874,130176,Strombocactus disciformis subsp. disciformis,subspecies,,,
246740,130139,Mammillaria melanocentra,species,,,
246741,130139,Mammillaria multiceps,species,,,
246742,130139,Mammillaria pectinifera,species,,,
246743,130139,Mammillaria rettigiana,species,,,
246744,130139,Mammillaria viperina,species,,,
555420,130139,Mammillaria crucigera,species,,,
107611,107610,Quiabentia verticillata,species,,,
623749,2637721,Opuntia sp. INIFAP 2-26-23,species,,,
1475402,983927,Epiphyllum thomasianum,species,,,
1131669,153855,Eriosyce chilensis,species,,,
1131670,153855,Eriosyce curvispina,species,,,
1131671,1131670,Eriosyce curvispina subsp. curvispina,subspecies,,,
1131672,153855,Eriosyce krausii,species,,,
1131673,153855,Eriosyce odieri,species,,,
1131674,1131673,Eriosyce odieri subsp. odieri,subspecies,,,
1131675,153855,Eriosyce paucicostata,species,,,
1131676,153855,Eriosyce senilis,species,,,
1131677,1131676,Eriosyce senilis subsp. coimasensis,subspecies,,,
1131678,1131676,Eriosyce senilis subsp. senilis,subspecies,,,
1131679,153855,Eriosyce sociabilis,species,,,
1131681,153859,Eriosyce subgibbosa subsp. nigrihorrida,subspecies,,,
1131687,153859,Eriosyce subgibbosa subsp. subgibbosa,subspecies,,,
1131688,1001100,Eriosyce taltalensis subsp. pilispina,subspecies,,,
1131689,1001100,Eriosyce taltalensis subsp. pygmaea,subspecies,,,
1131690,1001100,Eriosyce taltalensis subsp. taltalensis,subspecies,,,
1131692,153855,Eriosyce villosa,species,,,
1131693,153880,Neowerdermannia chilensis,species,,,
1302820,2634194,Selenicereus sp. OP-2013,species,,,
2800786,2800785,Samaipaticereus sp. 062,species,,,
3081414,106975,Opuntia comonduensis,species,,,
1302821,2634194,Selenicereus sp. OP-2013a,species,,,
3081418,106975,Opuntia diploursina,species,,,
1041619,867468,Pilosocereus arrabidae,species,,,
1049816,2637721,Opuntia sp. RP,species,,,
1049817,2637721,Opuntia sp. LCM-2011a,species,,,
1574107,153845,Cereus jamacaru,species,,,
1574108,2944495,Soehrensia spachiana,species,,,
1049822,106975,Opuntia longispina,species,,,
3433703,153872,Lobivia minutiflora,species,,,
3433704,2944495,Soehrensia grandiflora,species,,,
1574133,2621951,Maihueniopsis sp. 3 AMG-2014,species,,,
1574134,106975,Opuntia anacantha,species,,,
1574135,106975,Opuntia aurantiaca,species,,,
1574136,106975,Opuntia colubrina,species,,,
1574137,106975,Opuntia discolor,species,,,
1574138,106975,Opuntia megapotamica,species,,,
1574139,106975,Opuntia penicilligera,species,,,
1574140,106975,Opuntia ventanensis,species,,,
1686175,393614,Grusonia aggeria,species,,,
337189,336116,Echinocereus enneacanthus subsp. brevispinus,subspecies,,,
1049901,106975,Opuntia abjecta,species,,,
2721080,2566204,Cereus sp. S99AG,species,,,
1959239,1789616,Disocactus ackermannii subsp. conzattianus,subspecies,,,
1959240,1789620,Disocactus crenatus subsp. kimnachii,subspecies,,,
1959241,153851,Disocactus macdougallii,species,,,
1959242,1789625,Disocactus nelsonii subsp. hondurensis,subspecies,,,
1959243,1789625,Disocactus nelsonii subsp. nelsonii,subspecies,,,
1959244,866994,Disocactus speciosus subsp. blomianus,subspecies,,,
1959245,983927,Epiphyllum baueri,species,,,
1959246,1548882,Epiphyllum hookeri subsp. columbiense,subspecies,,,
1959247,1548882,Epiphyllum hookeri subsp. guatemalense,subspecies,,,
1959248,983932,Epiphyllum phyllanthus subsp. rubrocoronatum,subspecies,,,
1959249,1475402,Epiphyllum thomasianum subsp. costaricense,subspecies,,,
1959251,83431,Selenicereus extensus,species,,,
1959252,83431,Selenicereus minutiflorus,species,,,
1959253,83431,Selenicereus setaceus,species,,,
1959254,83431,Selenicereus stenopterus,species,,,
1959255,83431,Selenicereus tricae,species,,,
1959256,154421,Pfeiffera monacantha subsp. kimnachii,subspecies,,,
336128,223052,Cephalocereus macrocephalus,species,,,
1959257,1789610,Pseudorhipsalis acuminata,species,,,
1959258,1789610,Pseudorhipsalis alata,species,,,
1959259,153852,Pseudorhipsalis amazonica subsp. amazonica,subspecies,,,
1959260,153852,Pseudorhipsalis amazonica subsp. chocoensis,subspecies,,,
1959262,1789610,Pseudorhipsalis lankesteri,species,,,
1959263,2745101,Kimnachia ramulosa,species,,,
1959264,1959263,Kimnachia ramulosa subsp. jamaicensis,subspecies,,,
1959261,153852,Pseudorhipsalis amazonica subsp. panamensis,subspecies,,,
1959265,83431,Selenicereus anthonyanus,species,,,
1959266,83431,Selenicereus cf. grandiflorus NK-2017,species,,,
1959267,83431,Selenicereus cf. nelsonii NK-2017,species,,,
1959268,83431,Selenicereus dorschianus,species,,,
1959271,336151,Selenicereus grandiflorus subsp. lautneri,subspecies,,,
1959272,83431,Selenicereus nelsonii,species,,,
1959273,83431,Selenicereus validus,species,,,
1959276,336104,Weberocereus frohningiorum,species,,,
1959277,336105,Weberocereus glaber subsp. mirandae,subspecies,,,
1959278,336104,Weberocereus imitans,species,,,
1959279,336104,Weberocereus rosei,species,,,
1959280,336104,Weberocereus tonduzii,species,,,
1959281,336104,Weberocereus trichophorus,species,,,
1959282,336104,Weberocereus tunilla,species,,,
1959283,1959282,Weberocereus tunilla subsp. biolleyi,subspecies,,,
3433870,3433869,Chamaecereus stilowianus,species,,,
484760,153864,Gymnocalycium mihanovichii,species,,,
558552,106975,Opuntia matudae,species,,,
83432,944768,Strophocactus wittii,species,,,
435754,153866,Haageocereus tenuis,species,,,
1812013,130168,Sclerocactus brevihamatus subsp. tobuschii,subspecies,,,
2795061,153870,Leptocereus demissus,species,,,
2795062,153870,Leptocereus nudiflorus,species,,,
2795063,153870,Leptocereus undulosus,species,,,
2795064,432463,Melocactus pedernalensis,species,,,
2795065,83431,Selenicereus triangularis,species,,,
2893370,106975,Opuntia chiangiana,species,,,
2795072,153870,Leptocereus velozianus,species,,,
1123916,153851,Disocactus flagelliformis,species,,,
558671,106975,Opuntia megacantha,species,,,
1001068,2596930,Echinomastus intertextus,species,,,
1001070,1001069,Miqueliopuntia miquelii,species,,,
992880,762143,Gymnocalycium horstii subsp. horstii,subspecies,,,
1001072,1001071,Pygmaeocereus bylesianus,species,,,
992882,432501,Gymnocalycium schickendantzii subsp. schickendantzii,subspecies,,,
1001074,1001073,Weberbauerocereus johnsonii,species,,,
992881,762160,Gymnocalycium mostii subsp. valnicekianum,subspecies,,,
992884,946341,Gymnocalycium gibbosum subsp. gibbosum,subspecies,,,
992885,762175,Gymnocalycium reductum subsp. reductum,subspecies,,,
992883,762152,Gymnocalycium marsoneri subsp. marsoneri,subspecies,,,
992888,153864,Gymnocalycium calochlorum,species,,,
992889,153864,Gymnocalycium pugionacanthum,species,,,
992890,153864,Gymnocalycium stenopleurum,species,,,
992891,762152,Gymnocalycium marsoneri subsp. megatae,subspecies,,,
1001084,183648,Echinopsis spiniflora,species,,,
992886,762141,Gymnocalycium glaucum subsp. glaucum,subspecies,,,
1001086,2800461,Borzicactus icosagonus,species,,,
1001087,432447,Cleistocactus parviflorus,species,,,
1001088,432447,Cleistocactus tupizensis,species,,,
1001090,154416,Copiapoa cinerascens,species,,,
1001092,130106,Corryocactus aureus,species,,,
1001091,154416,Copiapoa humilis,species,,,
1001094,130167,Sclerocactus unguispinus,species,,,
1001093,130108,Coryphantha aff. salinensis THH-2011,species,,,
2762378,1041198,Consolea macracantha,species,,,
2762379,1041198,Consolea millspaughii,species,,,
2762380,1041198,Consolea microcarpa,species,,,
1001101,432453,Espostoa nana,species,,,
1001099,183648,Echinopsis sucrensis,species,,,
1001103,153866,Haageocereus decumbens,species,,,
1001104,153866,Haageocereus limensis,species,,,
1001105,153868,Harrisia martinii,species,,,
1001106,572154,Maihueniopsis atacamensis,species,,,
1001107,154425,Matucana madisoniorum,species,,,
1001102,154412,Frailea pumila,species,,,
1001100,153855,Eriosyce taltalensis,species,,,
1001110,106975,Opuntia dejecta,species,,,
1001111,106975,Opuntia gaumeri,species,,,
1001112,106975,Opuntia karwinskiana,species,,,
1001113,106975,Opuntia lutea,species,,,
1001114,2637721,Opuntia sp. THH-2011,species,,,
1001115,106975,Opuntia helleri,species,,,
1001116,106975,Opuntia macbridei,species,,,
1001117,106975,Opuntia megasperma,species,,,
1001118,169219,Tacinga palmadora,species,,,
1001119,2633613,Pachycereus sp. THH-2011,species,,,
1001120,2648536,Pereskiopsis sp. THH-2011,species,,,
1001121,106983,Pterocactus gonjianii,species,,,
1001124,107610,Quiabentia chacoensis,species,,,
1001125,2640960,Rauhocereus sp. THH-2011,species,,,
1001123,223064,Pterocereus gaumeri subsp. foetidus,subspecies,,,
1001127,83431,Selenicereus donkelaarii,species,,,
3595,3594,Schlumbergera truncata,species,,,
1001128,2634194,Selenicereus sp. THH-2011,species,,,
1001130,432467,Weingartia candiae,species,,,
1001131,308217,Tephrocactus alexanderi,species,,,
1001132,1170789,Echinopsis tacaquirensis subsp. taquimbalensis,subspecies,,,
1001133,1916262,Airampoa corrugata,species,,,
1001129,2619728,Stenocactus sp. THH-2011,species,,,
1197759,153868,Harrisia aboriginum,species,,,
1197760,153868,Harrisia caymanensis,species,,,
1197761,153868,Harrisia divaricata,species,,,
1197762,153868,Harrisia gracilis,species,,,
1197763,153868,Harrisia portoricensis,species,,,
1197764,153868,Harrisia taetra,species,,,
1197765,153868,Harrisia taylorii,species,,,
1484561,153845,Cereus repandus,species,,,
993093,701510,Cylindropuntia bigelovii,species,,,
993094,701510,Cylindropuntia ramosissima,species,,,
993095,572154,Maihueniopsis darwinii,species,,,
993096,106975,Opuntia littoralis,species,,,
993097,146106,Pereskiopsis rotundifolia,species,,,
223053,223052,Cephalocereus columna-trajani,species,,,
223054,223052,Cephalocereus senilis,species,,,
223056,223055,Myrtillocactus schenckii,species,,,
223057,171975,Neobuxbaumia euphorbioides,species,,,
223058,223052,Cephalocereus mezcalaensis,species,,,
223060,223052,Cephalocereus polylophus,species,,,
223061,223052,Cephalocereus scoparius,species,,,
223062,223052,Cephalocereus fulviceps,species,,,
722776,722775,Rhipsalidopsis x graeseri,species,,,
223065,1548883,Lemaireocereus lepidanthus,species,,,
722778,183648,Echinopsis aurea,species,,,
223064,1001122,Pterocereus gaumeri,species,,,
722780,154427,Hatiora cylindrica,species,,,
223069,2912241,Marshallocereus aragonii,species,,,
722781,3594,Schlumbergera lutea,species,,,
722783,722781,Schlumbergera lutea subsp. lutea,subspecies,,,
722782,722781,Schlumbergera lutea subsp. bradei,subspecies,,,
722784,154427,Hatiora herminiae,species,,,
722786,154431,Lepismium houlletianum,species,,,
722789,911490,Lymanbensonia incachacana,species,,,
722790,154431,Lepismium lorentzianum,species,,,
722791,154431,Lepismium lumbricoides,species,,,
722794,2627641,Lepismium sp. CA080,species,,,
722795,154431,Lepismium warmingianum,species,,,
722796,911490,Lymanbensonia micrantha,species,,,
